CO2_1;CO2_2;CO2_medium;Temp_1;Temp_2;Temp_medium;Accuracy_1;Accuracy_2;Min_CO2_1;Min_CO2_2; time
1738.000;1487.000;1612.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;102.000;
1728.000;1484.000;1606.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;103.000;
1718.000;1479.000;1598.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;104.000;
1708.000;1473.000;1590.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;105.000;
1698.000;1468.000;1583.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;106.000;
1688.000;1463.000;1575.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;107.000;
1677.000;1458.000;1567.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;108.000;
1667.000;1452.000;1559.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;109.000;
1655.000;1446.000;1550.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;110.000;
1649.000;1442.000;1545.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;111.000;
1639.000;1437.000;1538.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;112.000;
1628.000;1428.000;1528.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;113.000;
1617.000;1423.000;1520.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;114.000;
1606.000;1417.000;1511.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;115.000;
1596.000;1410.000;1503.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;116.000;
1585.000;1403.000;1494.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;117.000;
1575.000;1396.000;1485.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;118.000;
1563.000;1389.000;1476.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;119.000;
1553.000;1382.000;1467.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;120.000;
1542.000;1375.000;1458.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;121.000;
1531.000;1369.000;1450.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;122.000;
1521.000;1362.000;1441.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;123.000;
1509.000;1354.000;1431.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;124.000;
1497.000;1346.000;1421.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;125.000;
1485.000;1338.000;1411.500;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;126.000;
1474.000;1330.000;1402.000;21.000;19.000;20.000;0.000;0.000;0.000;3072.000;127.000;
